uid,title,the content,writer,Published at,score,comments_quantity
41023547,rr – record and replay debugger for C/C++,,levzettelin,1721552053,76,28
41022653,"What is the significance of the character ""j"" at the end of a Roman Numeral?",,kamaraju,1721539919,174,44
41021366,Initial details about why CrowdStrike's CSAgent.sys crashed,,pilfered,1721521054,342,376
41019604,Minuteman missile communications,,sklargh,1721507586,262,39
41018135,A Linux kernel syscall implementation tracker,,halb,1721496892,310,55
41023319,Zettlr: One-Stop Publication Workbench,,hgyjnbdet,1721548405,50,7
41016441,10% of Cubans left Cuba between 2022 and 2023,,apsec112,1721483004,391,770
40975320,Large models of what? Mistaking engineering achievements for linguistic agency,,Anon84,1721127271,148,82
41019561,Intel vs. Samsung vs. TSMC,,rbanffy,1721507377,148,34
40978894,Building a Galaksija,"I came across this as an interesting curiosity several years ago. Recently it showed up in a personal reference and I thought it might be of interest to the HN community. Really amazing story behind this and the community that was created around it is fascinating.<p>Part I (linked): <a href=""https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-the-1980s-yugoslav-8-bit-microcomputer-part-i-the-tech&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-the-1980s-y...</a><p>Part II: <a href=""https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-part-ii-the-origin-story&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-part-ii-the...</a><p>Part III: <a href=""https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-part-iii-audio-cassettes-magazine-listings-and-radio-waves&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-part-iii-au...</a><p>Wikipedia: <a href=""https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Galaksija_(computer)"" rel=""nofollow"">https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Galaksija_(computer)</a><p>Internet Archive Magazine Collection: <a href=""https:&#x2F;&#x2F;archive.org&#x2F;search?query=galaksija"" rel=""nofollow"">https:&#x2F;&#x2F;archive.org&#x2F;search?query=galaksija</a><p>Emulator: <a href=""https:&#x2F;&#x2F;github.com&#x2F;mejs&#x2F;galaksija"">https:&#x2F;&#x2F;github.com&#x2F;mejs&#x2F;galaksija</a><p>Another: <a href=""https:&#x2F;&#x2F;github.com&#x2F;nikp123&#x2F;Galaksija-Emulator"">https:&#x2F;&#x2F;github.com&#x2F;nikp123&#x2F;Galaksija-Emulator</a><p>Libretro core: <a href=""https:&#x2F;&#x2F;github.com&#x2F;libretro&#x2F;galaxy-libretro"">https:&#x2F;&#x2F;github.com&#x2F;libretro&#x2F;galaxy-libretro</a>",bane,1721153807,46,9
41019777,Google Distributed Cloud air-gapped appliance,,radeeyate,1721508743,138,82
41016650,How to choose a textbook that is optimal for oneself?,,JustinSkycak,1721484813,216,106
41019829,Managing Classic Mac OS Resources in ResEdit,,zdw,1721509090,74,39
41021029,Empathy for the user having sex with your software,,Kye,1721518074,299,63
