uid,title,the content,writer,Published at,score,comments_quantity
41021366,Initial details about why CrowdStrike's CSAgent.sys crashed,,pilfered,1721521054,234,213
41019604,Minuteman missile communications,,sklargh,1721507586,224,29
41018135,A Linux kernel syscall implementation tracker,,halb,1721496892,267,46
40985815,"Former Bungie, Pokémon lawyer explains how they caught leakers",,danso,1721223548,60,33
41016441,10% of Cubans left Cuba between 2022 and 2023,,apsec112,1721483004,330,646
40975320,Large models of what? Mistaking engineering achievements for linguistic agency,,Anon84,1721127271,125,54
41022408,X.com refuses to open with Firefox strict tracking protection enabled,,anticensor,1721536648,127,116
41019561,Intel vs. Samsung vs. TSMC,,rbanffy,1721507377,107,19
41019829,Managing Classic Mac OS Resources in ResEdit,,zdw,1721509090,62,29
41016650,How to choose a textbook that is optimal for oneself?,,JustinSkycak,1721484813,197,96
