uid,title,the content,writer,Published at,score,comments_quantity
41021366,Initial details about why CrowdStrike's CSAgent.sys crashed,,pilfered,1721521054,225,204
41019604,Minuteman missile communications,,sklargh,1721507586,224,29
40985815,"Former Bungie, Pokémon lawyer explains how they caught leakers",,danso,1721223548,59,32
41018135,A Linux kernel syscall implementation tracker,,halb,1721496892,266,45
41016441,10% of Cubans left Cuba between 2022 and 2023,,apsec112,1721483004,327,640
40975320,Large models of what? Mistaking engineering achievements for linguistic agency,,Anon84,1721127271,125,51
41019829,Managing Classic Mac OS Resources in ResEdit,,zdw,1721509090,62,29
41019561,Intel vs. Samsung vs. TSMC,,rbanffy,1721507377,104,19
41022408,X.com refuses to open with Firefox strict tracking protection enabled,,anticensor,1721536648,116,111
41016650,How to choose a textbook that is optimal for oneself?,,JustinSkycak,1721484813,196,95
41019777,Google Distributed Cloud air-gapped appliance,,radeeyate,1721508743,112,72
41021029,Empathy for the user having sex with your software,,Kye,1721518074,212,42
41022400,Why You Should Not Use Tcl (1994),,aragonite,1721536540,29,29
40978891,"Mangrove trees are on the move, taking the tropics with them",,alexahn,1721153764,122,17
41021298,Prelude – a tiny CLI tool building context prompts from your code,,aerugo_,1721520361,16,7
41015588,Aro – Zig's new C compiler,,whatever3,1721473435,164,79
40978894,Building a Galaksija,"I came across this as an interesting curiosity several years ago. Recently it showed up in a personal reference and I thought it might be of interest to the HN community. Really amazing story behind this and the community that was created around it is fascinating.<p>Part I (linked): <a href=""https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-the-1980s-yugoslav-8-bit-microcomputer-part-i-the-tech&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-the-1980s-y...</a><p>Part II: <a href=""https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-part-ii-the-origin-story&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-part-ii-the...</a><p>Part III: <a href=""https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-part-iii-audio-cassettes-magazine-listings-and-radio-waves&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-part-iii-au...</a><p>Wikipedia: <a href=""https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Galaksija_(computer)"" rel=""nofollow"">https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Galaksija_(computer)</a><p>Internet Archive Magazine Collection: <a href=""https:&#x2F;&#x2F;archive.org&#x2F;search?query=galaksija"" rel=""nofollow"">https:&#x2F;&#x2F;archive.org&#x2F;search?query=galaksija</a><p>Emulator: <a href=""https:&#x2F;&#x2F;github.com&#x2F;mejs&#x2F;galaksija"">https:&#x2F;&#x2F;github.com&#x2F;mejs&#x2F;galaksija</a><p>Another: <a href=""https:&#x2F;&#x2F;github.com&#x2F;nikp123&#x2F;Galaksija-Emulator"">https:&#x2F;&#x2F;github.com&#x2F;nikp123&#x2F;Galaksija-Emulator</a><p>Libretro core: <a href=""https:&#x2F;&#x2F;github.com&#x2F;libretro&#x2F;galaxy-libretro"">https:&#x2F;&#x2F;github.com&#x2F;libretro&#x2F;galaxy-libretro</a>",bane,1721153807,12,0
41017286,Human parasites in the Roman World: health consequences of conquering an empire,,GeoAtreides,1721490416,87,33
41016104,1989 Networking: NetWare 386,,supermatou,1721479861,121,53
41021569,"""Maxwell's equations of software"" examined (2008)",,behnamoh,1721523842,55,6
41015945,Robot dog cleans up beaches with foot-mounted vacuums,,zdw,1721477901,112,93
41021472,Deluge of Fake Mac App Store Reviews,,latexr,1721522311,86,19
41021436,Show HN: JSON-Threat-Protection Rust High-Performance Crate,,ADD-SP,1721521910,20,9
41018677,Exercise: Minesweeper in 100 lines of Ruby,,damir,1721501137,61,17
40992923,What to do if you don't want a default constructor?,,jandeboevrie,1721283059,35,11
40980200,The Resilience of Internet Infrastructures in Pacific Northwest to Earthquakes [pdf],,luu,1721162930,79,5
41014941,Typst: An easy to learn alternative for LaTex,,vogu66,1721463260,492,131
41012779,Modeling study proposes a diamond layer at the core-mantle boundary on Mercury,,PaulHoule,1721433832,35,16
40980639,Invalid SMILES beneficial rather than detrimental to chemical language models,,Bluestein,1721166454,20,10
40978865,Whose bug is this anyway? (2012),,NegatioN,1721153553,13,2
40982007,The Kimchi Masters of South Korea,,petethomas,1721182461,130,62
41013004,Garage: Open-Source Distributed Object Storage,,n3t,1721436031,464,118
41015855,Hadrius (YC W23) is hiring engineers looking to grow into future founders,,calderwoodra,1721476888,1,
41021611,C Traps and Pitfalls (1988) [pdf],,aragonite,1721524662,4,1
41017367,A brief interview with Tcl creator John Ousterhout (2023),,breck,1721490971,138,56
